,INFY,HINDUNILVR,TATACONSUM,WIPRO,ASIANPAINT,IRCTC,PFIZER,ITC,BURGERKING,JUBLFOOD,TCS,RELIANCE,BERGEPAINT,KOTAKBANK,IRFC,PIDILITIND,ADANIPORTS,NAUKRI,TATACHEM,TITAN,ADANIENT,ADANITRANS,ATGL,JSWSTEEL,CIPLA,DIXON,TNPETRO,CADILAHC,ALKYLAMINE,CAMS,DEEPAKNTR,INDIAMART,CDSL,LAURUSLABS,UPL,ADANIPOWER,TATAPOWER,TATASTEEL,TATAMOTORS
14-12-2020,2.4575861108259893,8.65032080659945,7.308908313185792,-2.789565217391304,8.1935210072146,-12.166224973832483,-0.9457190822607723,0.8878504672897196,13.138257734551857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-12-2020,1.58218103435635,6.338221814848763,6.304630835038125,-1.7878260869565217,2.4000738276484546,-14.422941303105212,-1.949263197164708,-0.2102803738317757,35.74138509264694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16-12-2020,2.563162602460519,7.447296058661778,8.536358564255162,-0.271304347826087,4.6284083389229265,-15.432524924095643,-1.9455325498974072,0.16355140186915887,62.881487381571226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-12-2020,1.9868909189553792,6.115948670944088,7.364701506416218,0.0,4.3285960592241794,-15.382045743046122,-2.098489087856743,-0.4439252336448598,0.0,-0.39567797899863033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-12-2020,0.8521425411701133,6.940879926672777,6.667286591035894,0.0,5.402248141929152,-15.40283128818416,0.0,0.0,0.0,0.0,-0.5813832336577133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19-12-2020,0.8521425411701133,6.940879926672777,6.667286591035894,0.0,5.402248141929152,-15.40283128818416,0.0,0.0,0.0,0.0,-0.5813832336577133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20-12-2020,0.8521425411701133,6.940879926672777,6.667286591035894,0.0,5.402248141929152,-15.40283128818416,0.0,0.0,0.0,0.0,-0.5813832336577133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21-12-2020,-0.20740677952632847,5.680568285976169,2.0745947171522503,0.0,3.5041122900526247,-18.3543786977856,0.0,0.0,0.0,-3.9767025089605736,-2.0556794265352476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22-12-2020,2.6099016558796335,5.912007332722273,3.625078708284609,0.0,5.527845178019168,0.0,0.0,0.0,0.0,-2.849462365591398,0.16994308882606754,1.133159268929504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23-12-2020,2.5068692886256128,8.673235563703026,8.905280201493209,1.5050460728389645,7.071473266738393,0.0,0.0,0.0,0.0,-1.2258064516129032,1.4388569037232424,1.5065274151436032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-12-2020,1.1407109412970564,2.8788617789462414,8.15867590177206,0.6230802983764809,7.33887340809133,0.0,0.0,0.0,0.0,0.0,1.459781120016232,2.971702984612207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-12-2020,1.1407109412970564,2.8788617789462414,8.15867590177206,0.6230802983764809,7.33887340809133,0.0,0.0,0.0,0.0,0.0,1.459781120016232,2.971702984612207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-12-2020,1.1407109412970564,2.8788617789462414,8.15867590177206,0.6230802983764809,7.33887340809133,0.0,0.0,0.0,0.0,0.0,1.459781120016232,2.971702984612207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27-12-2020,1.1407109412970564,2.8788617789462414,8.15867590177206,0.6230802983764809,7.33887340809133,0.0,0.0,0.0,0.0,0.0,1.459781120016232,2.971702984612207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12-2020,1.4638442030903378,2.307134104995182,8.419537645048125,0.2896541098528619,8.738672632901022,0.0,0.0,0.0,0.0,0.0,2.1589986811403064,3.4441805225653206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29-12-2020,2.28190309370624,2.110134307229274,7.735899973014303,0.0,8.305655846007413,0.0,0.0,0.0,0.0,0.0,2.2025907984173685,2.759991738097697,0.14131897711978467,-0.22200049887752557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-12-2020,1.9955824819906742,3.065155065964002,6.926329045605829,0.0,9.815702071092655,0.0,0.0,0.0,0.0,0.0,1.4580374353251497,3.0414127852938138,1.2051699177648763,0.7458219007233724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31-12-2020,2.7359257779980655,2.5855033844470086,6.125753350724116,0.0,11.02454226723802,0.0,0.0,0.0,0.0,0.0,0.09447600689865071,2.5147165134772282,2.0111039804187874,-0.44400099775505114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01-2021,3.1122328676813806,2.2493189469551873,8.212647296932627,0.0,11.468319149876104,0.0,0.0,0.0,0.0,0.0,2.1188939332454093,2.6283176701435504,3.031953793113741,-0.5088550760788226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-01-2021,3.1122328676813806,2.2493189469551873,8.212647296932627,0.0,11.468319149876104,0.0,0.0,0.0,0.0,0.0,2.1188939332454093,2.6283176701435504,3.031953793113741,-0.5088550760788226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-01-2021,3.1122328676813806,2.2493189469551873,8.212647296932627,0.0,11.468319149876104,0.0,0.0,0.0,0.0,0.0,2.1188939332454093,2.6283176701435504,3.031953793113741,-0.5088550760788226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-01-2021,5.410978350312066,3.917393321516518,8.662408923270666,0.0,10.634982469809115,0.0,0.0,0.0,0.0,0.0,5.996848686212844,2.8013012496127234,4.569944629344954,-1.9281616363182839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-01-2021,5.840459267885414,4.947359655488277,9.660879733741117,0.0,12.2032618604894,0.0,0.0,0.0,0.0,0.0,7.864334990362179,1.5232882371165961,6.302702864050864,-2.222499376403093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06-01-2021,4.883330365864809,3.5233937259847017,8.833318341279123,0.0,12.665111104863875,0.0,0.0,0.0,0.0,0.0,6.4676435528051135,-1.1540844779510482,5.174395176335388,-1.6887004240458967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-01-2021,3.251302879086084,1.476308870938961,8.14068543671854,0.0,12.13900457431556,0.0,0.0,0.0,0.0,0.0,5.764938622298874,-1.3141588350717752,6.383296270316254,-2.5692192566724867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08-01-2021,7.3375070377125144,2.405634003878136,9.660879733741117,0.0,14.245438736701754,0.0,0.0,0.0,0.0,0.0,8.837311047986203,-0.14974697924197047,8.881691864543379,-1.6862060364180593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09-01-2021,7.3375070377125144,2.405634003878136,9.660879733741117,0.0,14.245438736701754,0.0,0.0,0.0,0.0,0.0,8.837311047986203,-0.14974697924197047,8.881691864543379,-1.6862060364180593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-01-2021,7.3375070377125144,2.405634003878136,9.660879733741117,0.0,14.245438736701754,0.0,0.0,0.0,0.0,0.0,8.837311047986203,-0.14974697924197047,8.881691864543379,-1.6862060364180593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-01-2021,12.581264526560448,4.028741033297249,13.160025186651074,0.0,14.430178434451545,0.0,0.0,0.0,0.0,0.0,10.774544739778838,-2.0319115976453577,8.90855633329851,-3.2751309553504613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-01-2021,12.22540890914253,1.7546781503907876,12.314473329135557,0.0,9.93216840228274,0.0,0.0,0.0,0.0,0.0,10.718746829664198,1.0559743881028607,7.92800322373625,-5.001247193813919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-01-2021,13.522032250768735,1.6197761149641332,11.612845192048214,0.0,8.614894035719018,0.0,0.0,0.0,0.0,0.0,10.16425509789997,0.12909222348445729,7.001179051684253,-6.053878772761287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-01-2021,12.123151547815542,2.7204054198736634,10.46145542862283,0.0,6.984365399057827,0.0,0.0,0.0,0.0,0.0,13.36391650603632,1.23928534545079,6.665373192245124,-4.436228487321039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-01-2021,10.037101376744992,0.7225705142693996,8.383556714941081,0.0,4.052626717376375,0.0,0.0,0.0,0.0,0.0,12.76757634168611,0.05163688939378292,4.435622285569303,-5.897818779891531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16-01-2021,10.037101376744992,0.7225705142693996,8.383556714941081,0.0,4.052626717376375,0.0,0.0,0.0,0.0,0.0,12.76757634168611,0.05163688939378292,4.435622285569303,-5.897818779891531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-01-2021,10.037101376744992,0.7225705142693996,8.383556714941081,0.0,4.052626717376375,0.0,0.0,0.0,0.0,0.0,12.76757634168611,0.05163688939378292,4.435622285569303,-5.897818779891531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-01-2021,7.333416743259435,-0.06328737464460332,5.1992444004677525,0.0,3.9783292302378723,0.0,0.0,0.0,0.0,0.0,12.354323069899564,2.445006712795621,4.341596644926347,-6.652595114051422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19-01-2021,7.742446188567387,1.2450482387789819,1.0516768811144974,0.0,6.249422688444532,0.0,0.0,0.0,0.0,0.0,13.867841381759156,4.120623773623877,3.8697341531228897,-4.73157574851404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20-01-2021,6.870145593178593,0.8960159883893839,3.47913651792919,0.0,5.9427407795937945,0.0,0.0,0.0,0.0,0.0,15.390078117074161,6.10606217081483,4.122655347324084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21-01-2021,6.890092240233948,1.3970806914026719,3.2277210555448113,0.0,6.6672463459170475,0.0,0.0,0.0,0.0,0.0,14.204372527138075,8.40648559330786,3.9124905498936315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22-01-2021,6.981846816688579,3.1829266841936215,1.3897873305279724,0.0,1.9707224579896163,0.0,0.0,0.0,0.0,0.0,15.201760170437252,5.837550345967159,-0.25200283649704336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23-01-2021,6.981846816688579,3.1829266841936215,1.3897873305279724,0.0,1.9707224579896163,0.0,0.0,0.0,0.0,0.0,15.201760170437252,5.837550345967159,-0.25200283649704336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-01-2021,6.981846816688579,3.1829266841936215,1.3897873305279724,0.0,1.9707224579896163,0.0,0.0,0.0,0.0,0.0,15.201760170437252,5.837550345967159,-0.25200283649704336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-01-2021,5.725208052201243,2.7653727650158815,-0.5435108802208721,0.0,-1.2571560001009763,0.0,0.0,0.0,0.0,0.0,14.779788475195293,0.22720231333264485,-3.501081267984505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-01-2021,5.725208052201243,2.7653727650158815,-0.5435108802208721,0.0,-1.2571560001009763,0.0,0.0,0.0,0.0,0.0,14.779788475195293,0.22720231333264485,-3.501081267984505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
